state,hours
CA,40
CA,8
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,30
CA,40
CA,30
CA,30
CA,30
CA,45
CA,40
CA,16
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,45
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,60
CA,40
CA,30
CA,40
CA,40
CA,21
CA,40
CA,40
CA,40
CA,25
CA,40
CA,45
CA,40
CA,40
CA,40
CA,40
CA,40
CA,30
CA,40
CA,40
CA,40
CA,40
CA,50
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,10
CA,40
CA,40
CA,40
CA,40
CA,40
CA,35
CA,20
CA,20
CA,40
CA,40
CA,40
CA,6
CA,36
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,60
CA,40
CA,40
CA,40
CA,60
CA,40
CA,40
CA,40
CA,50
CA,40
CA,20
CA,40
CA,40
CA,36
CA,40
CA,30
CA,30
CA,50
CA,30
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,25
CA,40
CA,40
CA,35
CA,40
CA,40
CA,20
CA,40
CA,40
CA,40
CA,20
CA,40
CA,45
CA,40
CA,50
CA,50
CA,50
CA,40
CA,40
CA,40
CA,24
CA,40
CA,25
CA,40
CA,35
CA,30
CA,20
CA,40
CA,30
CA,40
CA,50
CA,40
CA,40
CA,40
CA,40
CA,24
CA,40
CA,24
CA,40
CA,40
CA,40
CA,40
CA,30
CA,40
CA,35
CA,60
CA,2
CA,40
CA,30
CA,40
CA,40
CA,55
CA,38
CA,20
CA,40
CA,40
CA,20
CA,40
CA,30
CA,40
CA,40
CA,40
CA,40
CA,50
CA,45
CA,45
CA,60
CA,70
CA,40
CA,60
CA,49
CA,40
CA,60
CA,40
CA,30
CA,40
CA,40
CA,60
CA,60
CA,20
CA,40
CA,40
CA,40
CA,12
CA,40
CA,20
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,24
CA,40
CA,40
CA,25
CA,40
CA,40
CA,40
CA,40
CA,20
CA,40
CA,15
CA,20
CA,40
CA,40
CA,8
CA,40
CA,40
CA,72
CA,19
CA,50
CA,40
CA,40
CA,70
CA,50
CA,50
CA,32
CA,45
CA,45
CA,60
CA,40
CA,40
CA,40
CA,40
CA,40
CA,24
CA,36
CA,40
CA,40
CA,40
CA,40
CA,62
CA,50
CA,50
CA,40
CA,40
CA,40
